Molecule,PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,Unnamed: 4,Half-Life in MLM minutes,Binary Classification
O1C23C45C67C89C%10%11C%12%13C%14%15C%16%17C8%18[H].O8OC%19%20OOC8%21C%148[H].O=C1C1%14[H].O=C%22N%23C%24%25C%26%27N%28C%29%30[H].C4%31%32C4%33C6%34[H].C2%106[H].C%122%10C%21%12[H].C5%21%35[H].C%315%36C%31%37C%22%38[H].C%13%22%39[H].C5%13%40[H].C%195%41C%19%42C%43%44C%45%46C%20%47[H].C%43%20%48[H].C%28%43%49[H].[H]7.[H]9.[H]%11.[H]%32.[H]3.[H]%15.[H]6.[H]%34.[H]%18.[H]4.[H]%33.[H]%16.[H]%17.[H]2.[H]%10.[H]%21.[H]%35.[H]8.[H]%36.[H]%22.[H]%39.[H]%12.[H]%31.[H]%37.[H]%13.[H]%40.[H]%38.[H]1.[H]%14.[H]5.[H]%41.[H]%47.[H]%19.[H]%42.[H]%45.[H]%46.[H]%44.[H]%23.[H]%20.[H]%48.[H]%24.[H]%25.[H]%26.[H]%27.[H]%43.[H]%29.[H]%49.[H]%30,23631547,"InChI=1S/C37H62N2O7/c1-24-14-16-36(17-15-24)43-45-37(46-44-36)19-18-34(4)27(23-37)9-10-28-30-12-11-29(25(2)8-13-33(41)38-20-21-39(6)7)35(30,5)32(22-31(28)34)42-26(3)40/h24-25,27-32H,8-23H2,1-7H3,(H,38,41)/t24?,25-,27-,28+,29-,30+,31+,32+,34+,35-,36?,37?/m1/s1",QXDAVDALEGIYMU-XDGQHLFSSA-N,,120.0,1
[I]C1=C2N3C45OC67C8=C4[H].O4C69[H].O=C3N3C1=O.[H]5.[H]7.[H]8.[H]9.[H]2.[H]3.[H]4,44436401,"InChI=1S/C9H9IN2O4/c10-6-3-12(9(15)11-8(6)14)7-2-1-5(4-13)16-7/h1-3,5,7,13H,4H2,(H,11,14,15)/t5-,7?/m0/s1/i10-3",NMXNXIYEWKFGMD-MLRHKOPLSA-N,,204.0,1
[I]C1=C2N3C45OC67C89O[H].O%10C6%11[H].O=C3N3C1=O.C481[H].[H]9.[H]5.[H]1.[H]7.[H]%11.[H]2.[H]3.[H]%10,5905,"InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",XQFRJNBWHJMXHO-RRKCRQDMSA-N,,74.4,1
[Cl]C=1C2=C3N4C=5N=C6N=C7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].N=57.C635C67C%13%14[H].C3%15%16C3%17[H].C9%18%19[H].[H]5.[H]%15.[H]%16.[H]6.[H]7.[H]3.[H]%17.[H]%13.[H]%14.[H]%10.[H]8.[H]%11.[H]%12.[H]%18.[H]%19.[H]4.[H]2.[H]1,25148306,"InChI=1S/C17H23Cl2N5/c1-5-11(6-2)15-22-16(20-10(3)4)24-17(23-15)21-12-7-8-13(18)14(19)9-12/h7-11H,5-6H2,1-4H3,(H2,20,21,22,23,24)",FLDNBSAOBKFTRJ-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C=7N8C9=O.[Cl]C=1C1=C3[H].O=C4C3=O.N=7C47C%10%11[H].N=53.C935C9%12C%13%14[H].C4%15%16[H].[H]7.[H]3.[H]5.[H]6.[H]9.[H]%12.[H]8.[H]%10.[H]%11.[H]%15.[H]%16.[H]2.[H]%13.[H]%14.[H]1,23731287,"InChI=1S/C17H19Cl2N5O3/c1-4-5-13(25)21-16(20-9(2)3)23-17-22-14(26)15(27)24(17)10-6-7-11(18)12(19)8-10/h6-9H,4-5H2,1-3H3,(H2,20,21,22,23,25,26)",LADKTEHTHAXRNI-UHFFFAOYSA-N,,10.0,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9=O.[Cl]C=1C1=C3[H].O=C4C3=O.N=7C47C%10%11[H].N=53.C935C9%12C%13%14[H].C3%15%16C3%17[H].C4%18%19[H].[H]5.[H]%15.[H]%16.[H]9.[H]%12.[H]3.[H]%17.[H]%13.[H]%14.[H]8.[H]7.[H]6.[H]%10.[H]%11.[H]%18.[H]%19.[H]2.[H]1,23731286,"InChI=1S/C19H23Cl2N5O3/c1-5-11(6-2)15(27)23-18(22-10(3)4)25-19-24-16(28)17(29)26(19)12-7-8-13(20)14(21)9-12/h7-11H,5-6H2,1-4H3,(H2,22,23,24,25,27,28)",JMYFJTNNXVXCMI-UHFFFAOYSA-N,,10.0,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C8C3=O.O=C8N=5.N=73.C935[H].C879C8%13[H].C7%14%15[H].[H]%10.[H]%11.[H]%12.[H]3.[H]5.[H]6.[H]9.[H]4.[H]8.[H]%13.[H]%14.[H]%15.[H]2.[H]1,23731285,"InChI=1S/C17H19Cl2N5O3/c1-8(2)13(25)21-16(20-10-5-6-11(18)12(19)7-10)23-17-22-14(26)15(27)24(17)9(3)4/h5-9H,1-4H3,(H2,20,21,22,23,25,26)",IBKNNJKBWMNHEJ-UHFFFAOYSA-N,,40.0,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9=O.[Cl]C=1C1=C3[H].O=C4C3=O.N=7C47C%10%11[H].N=53.C935C9%12[H].C3%13%14[H].C43%15[H].[H]5.[H]7.[H]6.[H]8.[H]9.[H]%12.[H]%13.[H]%14.[H]%10.[H]%11.[H]3.[H]%15.[H]2.[H]1,23731284,"InChI=1S/C17H19Cl2N5O3/c1-8(2)13(25)21-16(20-9(3)4)23-17-22-14(26)15(27)24(17)10-5-6-11(18)12(19)7-10/h5-9H,1-4H3,(H2,20,21,22,23,25,26)",UDEZYDQPTGCQJD-UHFFFAOYSA-N,,10.0,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.O=C8C5=O.N=75.C357C38[H].C5%13%14[H].C75%15[H].C97%16[H].[H]%10.[H]5.[H]3.[H]8.[H]%13.[H]%14.[H]%15.[H]%11.[H]%12.[H]7.[H]%16.[H]6.[H]4.[H]2.[H]1,23731283,"InChI=1S/C18H21Cl2N5O3/c1-9(2)25-14(27)13(26)22-17(25)24-16(23-15(28)18(3,4)5)21-10-6-7-11(19)12(20)8-10/h6-9H,1-5H3,(H2,21,22,23,24,26,28)",NBCBQFYOXXVZFO-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.O=C8C5=O.N=75.C357C38C%13%14[H].C5%15%16C5%17[H].C9%18%19[H].[H]7.[H]%15.[H]%16.[H]3.[H]8.[H]%10.[H]5.[H]%17.[H]%13.[H]%14.[H]%11.[H]%12.[H]%18.[H]%19.[H]6.[H]4.[H]2.[H]1,23731282,"InChI=1S/C19H23Cl2N5O3/c1-5-11(6-2)15(27)23-18(22-12-7-8-13(20)14(21)9-12)25-19-24-16(28)17(29)26(19)10(3)4/h7-11H,5-6H2,1-4H3,(H2,22,23,24,25,27,28)",ISXWSWAVBDSEPG-UHFFFAOYSA-N,,60.0,1
