Molecule,PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,Unnamed: 4,Half-Life in MLM minutes,Binary Classification
O=C1N2C34C56N7C89C%10%11C5%12[H].O5C=%13C=%14N%15C%16%17C%18%19C%20%21C%22%23C%24%25C%26%27C%18%28[H].C7%18%29C27[H].C12=C%15[H].C=%142C1=C2C=%13[H].C5%13%14[H].[H]6.[H]%12.[H]3.[H]4.[H]8.[H]9.[H]%10.[H]%11.[H]%18.[H]%29.[H]7.[H]%19.[H]%20.[H]%21.[H]%28.[H]%16.[H]%17.[H]%22.[H]%23.[H]%26.[H]%27.[H]%24.[H]%25.[H]1.[H]2.[H]%13.[H]%14,52949778,"InChI=1S/C24H33N3O2/c1-29-22-11-5-10-20-21(17-27(23(20)22)15-18-7-3-2-4-8-18)24(28)26-14-13-25-12-6-9-19(25)16-26/h5,10-11,17-19H,2-4,6-9,12-16H2,1H3/t19-/m1/s1",VFZFMQYNVZKWNF-LJQANCHMSA-N,,5.0,0
[Cl][H].O=C1N2C34C56N7C89C2%10C2%11[H].O%12C=%13C=%14N%15C%16%17C%18%19C%20%21C%22%23C%24%25C%26%27C%18%28[H].C5%18%29C5%30C7%31[H].C17=C%15[H].C=%147C1=C7C=%13[H].C%12%13%14[H].[H]6.[H]%18.[H]%29.[H]3.[H]4.[H]8.[H]9.[H]%31.[H]%10.[H]5.[H]%30.[H]%19.[H]2.[H]%11.[H]%20.[H]%21.[H]%28.[H]%16.[H]%17.[H]%26.[H]%27.[H]%22.[H]%23.[H]%24.[H]%25.[H]1.[H]7.[H]%13.[H]%14,52947367,"InChI=1S/C25H35N3O2.ClH/c1-18-14-26-13-7-10-20(26)16-28(18)25(29)22-17-27(15-19-8-4-3-5-9-19)24-21(22)11-6-12-23(24)30-2;/h6,11-12,17-20H,3-5,7-10,13-16H2,1-2H3;1H/t18-,20-;/m1./s1",QNRFAYBLRUYEFW-OVAHNPOGSA-N,,5.0,0
[Cl][H].S1C23C45N6C78C9%10N%11C4%12[H].O=C%11C4=C%11N%13C%14%15C%16%17C%18%19C%20%21C%22%23C%24%25C%16%26[H].O%16C=%27C%13=C4C4=C%13C=%27[H].C16%27[H].C516[H].C95%28[H].C%169%29[H].[H]%12.[H]%10.[H]7.[H]8.[H]2.[H]3.[H]%27.[H]1.[H]6.[H]%17.[H]5.[H]%28.[H]%18.[H]%19.[H]%26.[H]%14.[H]%15.[H]%20.[H]%21.[H]%24.[H]%25.[H]%22.[H]%23.[H]%11.[H]4.[H]%13.[H]9.[H]%29,52946150,"InChI=1S/C25H35N3O2S.ClH/c1-18-12-27-17-31-16-25(27,2)15-28(18)24(29)21-14-26(13-19-8-5-4-6-9-19)23-20(21)10-7-11-22(23)30-3;/h7,10-11,14,18-19H,4-6,8-9,12-13,15-17H2,1-3H3;1H/t18-,25+;/m0./s1",GOMIDTFVHGKBCD-CDAQVASYSA-N,,5.0,0
O=C1N2C34C56N7C89C2%10[H].O2C=%11C=%12N%13C%14%15C%16%17C%18%19C%20%21C%22%23C%24%25C%16%26[H].C8%16%27C8%28C7%29[H].C37%30C3%31C%32%33[H].C1=%34C=%12C1=C%12C=%11[H].C3%11%35[H].C%13=%34[H].C23%13[H].[H]9.[H]4.[H]5.[H]6.[H]%10.[H]%16.[H]%27.[H]%29.[H]8.[H]%28.[H]7.[H]%30.[H]%31.[H]%17.[H]%14.[H]%15.[H]%18.[H]%19.[H]%26.[H]%24.[H]%25.[H]%20.[H]%21.[H]%22.[H]%23.[H]%11.[H]%32.[H]%33.[H]%35.[H]1.[H]%12.[H]3.[H]%13,52946132,"InChI=1S/C28H41N3O2/c1-20(2)15-23-17-29-14-8-11-22(29)18-31(23)28(32)25-19-30(16-21-9-5-4-6-10-21)27-24(25)12-7-13-26(27)33-3/h7,12-13,19-23H,4-6,8-11,14-18H2,1-3H3/t22-,23-/m0/s1",LBRLKEYZOKDWQC-GOTSBHOMSA-N,,5.0,0
[Cl][H].O=C1N2C34C56N7C89C%10%11C5%12[H].O5C=%13C=%14N%15C%16%17C%18%19C%20%21C%22%23C%24%25C%26%27C%18%28[H].C7%18%29C27[H].C12=C%15[H].C=%142C1=C2C=%13[H].C5%13%14[H].[H]6.[H]%12.[H]3.[H]4.[H]8.[H]9.[H]%10.[H]%11.[H]%18.[H]%29.[H]7.[H]%19.[H]%28.[H]%20.[H]%21.[H]%16.[H]%17.[H]%22.[H]%23.[H]%26.[H]%27.[H]%24.[H]%25.[H]1.[H]2.[H]%13.[H]%14,52946094,"InChI=1S/C24H33N3O2.ClH/c1-29-22-11-5-10-20-21(17-27(23(20)22)15-18-7-3-2-4-8-18)24(28)26-14-13-25-12-6-9-19(25)16-26;/h5,10-11,17-19H,2-4,6-9,12-16H2,1H3;1H/t19-;/m0./s1",MIILUVBXPPKGDE-FYZYNONXSA-N,,5.0,0
O=C1N2C34C56N7C89C2%10[H].O2C=%11C=%12N%13C%14%15C%16%17C%18%19C%20%21C%22%23C%24%25C%16%26[H].C8%16%27C8%28C7%29[H].C37%30[H].C43%31[H].C1=4C=%12C1=C%12C=%11[H].C%13=4[H].C24%11[H].[H]9.[H]5.[H]6.[H]%10.[H]%16.[H]%27.[H]%29.[H]8.[H]%28.[H]7.[H]%30.[H]3.[H]%31.[H]%17.[H]%14.[H]%15.[H]%18.[H]%19.[H]%26.[H]%20.[H]%21.[H]%24.[H]%25.[H]%22.[H]%23.[H]1.[H]%12.[H]4.[H]%11,52944916,"InChI=1S/C26H37N3O2/c1-26(2)18-27-14-8-11-20(27)16-29(26)25(30)22-17-28(15-19-9-5-4-6-10-19)24-21(22)12-7-13-23(24)31-3/h7,12-13,17,19-20H,4-6,8-11,14-16,18H2,1-3H3/t20-/m0/s1",SLPGSWIEEUBPDH-FQEVSTJZSA-N,,5.0,0
O=C1N2C34C56N7C89C2%10[H].O2C=%11C=%12N%13C%14%15C%16%17C%18%19C%20%21C%22%23C%24%25C%16%26[H].C8%16%27C8%28C7%29[H].C37%30[H].C43%31[H].C1=4C=%12C1=C%12C=%11[H].C%13=4[H].C24%11[H].[H]9.[H]5.[H]6.[H]%10.[H]%16.[H]%27.[H]%29.[H]8.[H]%28.[H]7.[H]%30.[H]3.[H]%31.[H]%17.[H]%14.[H]%15.[H]%18.[H]%19.[H]%26.[H]%20.[H]%21.[H]%24.[H]%25.[H]%22.[H]%23.[H]1.[H]%12.[H]4.[H]%11,52944915,"InChI=1S/C26H37N3O2/c1-26(2)18-27-14-8-11-20(27)16-29(26)25(30)22-17-28(15-19-9-5-4-6-10-19)24-21(22)12-7-13-23(24)31-3/h7,12-13,17,19-20H,4-6,8-11,14-16,18H2,1-3H3/t20-/m1/s1",SLPGSWIEEUBPDH-HXUWFJFHSA-N,,5.0,0
[Cl][H].O=C1N2C34C56N7C89C%10%11C%12%13C5%14[H].O5C=%15C=%16N%17C%18%19C%20%21C%22%23C%24%25C%26%27C%28%29C%20%30[H].C7%20%31C27[H].C12=C%17[H].C=%162C1=C2C=%15[H].C5%15%16[H].[H]6.[H]%14.[H]3.[H]4.[H]8.[H]9.[H]%20.[H]%31.[H]%12.[H]%13.[H]%10.[H]%11.[H]%21.[H]7.[H]%30.[H]%22.[H]%23.[H]%18.[H]%19.[H]%24.[H]%25.[H]%28.[H]%29.[H]%26.[H]%27.[H]1.[H]2.[H]%15.[H]%16,52944885,"InChI=1S/C25H35N3O2.ClH/c1-30-23-12-7-11-21-22(18-28(24(21)23)16-19-8-3-2-4-9-19)25(29)27-15-14-26-13-6-5-10-20(26)17-27;/h7,11-12,18-20H,2-6,8-10,13-17H2,1H3;1H/t20-;/m0./s1",HKTAIRAIGRBEIO-BDQAORGHSA-N,,5.0,0
O=C1N2C34C56N7C89C%10%11C%12%13C5%14[H].O5C=%15C=%16N%17C%18%19C%20%21C%22%23C%24%25C%26%27C%28%29C%20%30[H].C7%20%31C27[H].C12=C%17[H].C=%162C1=C2C=%15[H].C5%15%16[H].[H]6.[H]%14.[H]3.[H]4.[H]8.[H]9.[H]%20.[H]%31.[H]%12.[H]%13.[H]%10.[H]%11.[H]%21.[H]7.[H]%30.[H]%22.[H]%23.[H]%18.[H]%19.[H]%28.[H]%29.[H]%24.[H]%25.[H]%26.[H]%27.[H]1.[H]2.[H]%15.[H]%16,52944884,"InChI=1S/C25H35N3O2/c1-30-23-12-7-11-21-22(18-28(24(21)23)16-19-8-3-2-4-9-19)25(29)27-15-14-26-13-6-5-10-20(26)17-27/h7,11-12,18-20H,2-6,8-10,13-17H2,1H3/t20-/m1/s1",NTIFEVGVXWYYHK-HXUWFJFHSA-N,,5.0,0
O=C1N2C34C56N7C89C2%10C2%11[H].O%12C=%13C=%14N%15C%16%17C%18%19C%20%21C%22%23C%24%25C%26%27C%18%28[H].C5%18%29C5%30C7%31[H].C17=C%15[H].C=%147C1=C7C=%13[H].C%12%13%14[H].[H]6.[H]%18.[H]%29.[H]3.[H]4.[H]8.[H]9.[H]%31.[H]%10.[H]5.[H]%30.[H]%19.[H]2.[H]%11.[H]%20.[H]%21.[H]%28.[H]%16.[H]%17.[H]%22.[H]%23.[H]%26.[H]%27.[H]%24.[H]%25.[H]1.[H]7.[H]%13.[H]%14,52943703,"InChI=1S/C25H35N3O2/c1-18-14-26-13-7-10-20(26)16-28(18)25(29)22-17-27(15-19-8-4-3-5-9-19)24-21(22)11-6-12-23(24)30-2/h6,11-12,17-20H,3-5,7-10,13-16H2,1-2H3/t18-,20-/m0/s1",GZKSAQUUENNDEG-ICSRJNTNSA-N,,5.0,0
O=C1N2C34C56N7C89C2%10[H].O2C=%11C=%12N%13C%14%15C%16%17C%18%19C%20%21C%22%23C%24%25C%16%26[H].C8%16%27C8%28C7%29[H].C37%30C3%31C%32%33[H].C1=%34C=%12C1=C%12C=%11[H].C3%11%35[H].C%13=%34[H].C23%13[H].[H]9.[H]4.[H]5.[H]6.[H]%10.[H]%16.[H]%27.[H]%29.[H]8.[H]%28.[H]7.[H]%30.[H]%31.[H]%17.[H]%14.[H]%15.[H]%18.[H]%19.[H]%26.[H]%24.[H]%25.[H]%20.[H]%21.[H]%22.[H]%23.[H]%11.[H]%32.[H]%33.[H]%35.[H]1.[H]%12.[H]3.[H]%13,52941294,"InChI=1S/C28H41N3O2/c1-20(2)15-23-17-29-14-8-11-22(29)18-31(23)28(32)25-19-30(16-21-9-5-4-6-10-21)27-24(25)12-7-13-26(27)33-3/h7,12-13,19-23H,4-6,8-11,14-18H2,1-3H3/t22-,23-/m1/s1",LBRLKEYZOKDWQC-DHIUTWEWSA-N,,5.0,0
[Cl][H].O=C1N2C34C56N7C89C2%10C2%11[H].O%12C=%13C=%14N%15C%16%17C%18%19C%20%21C%22%23C%24%25C%26%27C%18%28[H].C5%18%29C5%30C7%31[H].C17=C%15[H].C=%147C1=C7C=%13[H].C%12%13%14[H].[H]6.[H]%18.[H]%29.[H]3.[H]4.[H]8.[H]9.[H]%31.[H]%10.[H]5.[H]%30.[H]%19.[H]2.[H]%11.[H]%20.[H]%21.[H]%28.[H]%16.[H]%17.[H]%26.[H]%27.[H]%22.[H]%23.[H]%24.[H]%25.[H]1.[H]7.[H]%13.[H]%14,52941289,"InChI=1S/C25H35N3O2.ClH/c1-18-14-26-13-7-10-20(26)16-28(18)25(29)22-17-27(15-19-8-4-3-5-9-19)24-21(22)11-6-12-23(24)30-2;/h6,11-12,17-20H,3-5,7-10,13-16H2,1-2H3;1H/t18-,20+;/m1./s1",QNRFAYBLRUYEFW-VDWUQFQWSA-N,,5.0,0
[Cl][H].O=C1N2C34C56N7C89C2%10C2%11[H].O%12C=%13C=%14N%15C%16%17C%18%19C%20%21C%22%23C%24%25C%26%27C%18%28[H].C5%18%29C5%30C7%31[H].C17=C%15[H].C=%147C1=C7C=%13[H].C%12%13%14[H].[H]6.[H]%18.[H]%29.[H]3.[H]4.[H]8.[H]9.[H]%31.[H]%10.[H]5.[H]%30.[H]%19.[H]2.[H]%11.[H]%20.[H]%21.[H]%28.[H]%16.[H]%17.[H]%26.[H]%27.[H]%22.[H]%23.[H]%24.[H]%25.[H]1.[H]7.[H]%13.[H]%14,52941287,"InChI=1S/C25H35N3O2.ClH/c1-18-14-26-13-7-10-20(26)16-28(18)25(29)22-17-27(15-19-8-4-3-5-9-19)24-21(22)11-6-12-23(24)30-2;/h6,11-12,17-20H,3-5,7-10,13-16H2,1-2H3;1H/t18-,20+;/m0./s1",QNRFAYBLRUYEFW-VKLKMBQZSA-N,,5.0,0
[F]C1=C2C3=C4N5C6=O.[F]C27[F].[F]7.N62C67C89C%10%11C8%12[H].N8%13C%14%15C%16%17C2%18[H].N2%19C%20%21C8%22[H].N#CC8=C%23C%24=C%11C%11=C8[H].C%108%25C6%10[H].C%136%26C2%13[H].C42=C1[H].C%1914[H].[H]9.[H]%12.[H]7.[H]8.[H]%25.[H]%10.[H]%24.[H]%11.[H]%18.[H]%16.[H]%17.[H]%23.[H]5.[H]%14.[H]%15.[H]%22.[H]6.[H]%26.[H]%20.[H]%21.[H]%13.[H]3.[H]2.[H]1.[H]4,52948857,"InChI=1S/C29H33F4N5O/c1-36-13-15-37(16-14-36)11-2-12-38(27(39)35-22-7-8-25(30)23(17-22)29(31,32)33)26-9-10-28(18-24(26)28)21-5-3-20(19-34)4-6-21/h3-8,17,24,26H,2,9-16,18H2,1H3,(H,35,39)",QXIJKQBZACKAMG-UHFFFAOYSA-N,,574.0,1
[Cl]C1=C2C3=C4C5=O.[Cl]C6=C1[H].N17C89C%10%11C%12%13C1%14[H].N1%15N=C%16C%17=C%15C%15=C%18C=%19N5C5=C3[H].C73%20C17[H].C%17=%19[H].C21=C6[H].[H]%14.[H]8.[H]9.[H]%12.[H]%13.[H]%10.[H]%11.[H]3.[H]%20.[H]7.[H]%15.[H]%16.[H]%18.[H]5.[H]4.[H]1,25205319,"InChI=1S/C24H22Cl2N4O/c25-19-3-5-21(22(26)15-19)17-7-10-29(24(31)14-17)20-4-6-23-18(13-20)16-27-30(23)12-11-28-8-1-2-9-28/h3-7,10,13-16H,1-2,8-9,11-12H2",NIAQGSGCZRZBSG-UHFFFAOYSA-N,,136.0,1
[F]C12[F].[F]1.O=C1N3C4=C5C6=C7N8N=C6[H].N69C%10%11C%12%13C%14%15C6%16[H].C96%17C89[H].C78=C4[H].C34=C3C7=C1[H].C71=C7C%18=C2C2=C1[H].[H]%16.[H]%10.[H]%11.[H]%12.[H]%13.[H]%14.[H]%15.[H]6.[H]%17.[H]9.[H]8.[H]5.[H]4.[H]3.[H]7.[H]%18.[H]2,25205318,"InChI=1S/C25H23F3N4O/c26-25(27,28)21-5-3-18(4-6-21)19-9-12-31(24(33)16-19)22-7-8-23-20(15-22)17-29-32(23)14-13-30-10-1-2-11-30/h3-9,12,15-17H,1-2,10-11,13-14H2",RMUWRXSDAOJENI-UHFFFAOYSA-N,,187.0,1
[Cl]C1=C2C3=C4C=5SC=6C7=O.O8C9%10C%11%12N%13C%14%15C%16%17C%18%19C%13%20[H].O%13C%21=C8C8=C%22C=%23N7C7=NC=6C=5[H].C%21=%23[H].C45=C1[H].C%1314[H].[H]%20.[H]%14.[H]%15.[H]%16.[H]%17.[H]%18.[H]%19.[H]%11.[H]%12.[H]9.[H]%10.[H]8.[H]%22.[H]7.[H]3.[H]5.[H]1.[H]4.[H]2,9826520,"InChI=1S/C25H24ClN3O3S/c1-31-22-14-19(8-9-21(22)32-13-12-28-10-2-3-11-28)29-16-27-20-15-23(33-24(20)25(29)30)17-4-6-18(26)7-5-17/h4-9,14-16H,2-3,10-13H2,1H3",MWULMTACIBZPGN-UHFFFAOYSA-N,,574.0,1
O1C2=C3C4=O.N56N=C7C8=C5C5=C9C=%10N4C4=C2[H].N2%11C%12=NC%13%14C2%15[H].C6%122[H].C8=%10[H].C168C1=C%10C%12=C%16C%17=C1[H].[H]2.[H]%15.[H]5.[H]%13.[H]%14.[H]%11.[H]7.[H]9.[H]4.[H]3.[H]6.[H]8.[H]%10.[H]%12.[H]%17.[H]%16,25057124,"InChI=1S/C23H21N5O2/c29-23-13-20(30-16-17-4-2-1-3-5-17)8-11-27(23)19-6-7-21-18(12-19)14-26-28(21)15-22-24-9-10-25-22/h1-8,11-14H,9-10,15-16H2,(H,24,25)",VAXDISKYVOZCHP-UHFFFAOYSA-N,,580.0,1
O1C23C45N6C78C29[H].O2C%10=C%11C%12=O.N%13%14N=C%15C%16=C%14C%14=C%17C=%18N%12C%12=C%10[H].C6%10%19C%136[H].C%16=%18[H].C2%13%16C2=C%18C%20=C%21C%22=C2[H].[H]3.[H]4.[H]5.[H]7.[H]8.[H]9.[H]%10.[H]%19.[H]6.[H]1.[H]%14.[H]%15.[H]%17.[H]%12.[H]%11.[H]%13.[H]%16.[H]%18.[H]%20.[H]%22.[H]%21,25054288,"InChI=1S/C25H26N4O3/c30-22-8-10-27(17-22)12-13-29-24-7-6-21(14-20(24)16-26-29)28-11-9-23(15-25(28)31)32-18-19-4-2-1-3-5-19/h1-7,9,11,14-16,22,30H,8,10,12-13,17-18H2/t22-/m0/s1",DZPCZIBGZIYEKK-QFIPXVFZSA-N,,433.0,1
O1C2=C3C4=O.N56C78C9%10C%11%12C5%13[H].N5%14N=C%15C%16=C%14C%14=C%17C=%18N4C4=C2[H].C62%19C56[H].C%16=%18[H].C15%16C1=C%18C%20=C%21C%22=C1[H].[H]%13.[H]7.[H]8.[H]%11.[H]%12.[H]9.[H]%10.[H]2.[H]%19.[H]6.[H]%14.[H]%15.[H]%17.[H]4.[H]3.[H]5.[H]%16.[H]%18.[H]%20.[H]%22.[H]%21,24857598,"InChI=1S/C25H26N4O2/c30-25-17-23(31-19-20-6-2-1-3-7-20)10-13-28(25)22-8-9-24-21(16-22)18-26-29(24)15-14-27-11-4-5-12-27/h1-3,6-10,13,16-18H,4-5,11-12,14-15,19H2",QBYYFLZCKXHEJS-UHFFFAOYSA-N,,695.0,1
O1C23C45N6C78C9%10C%11=C2C2=C%12C=%13O[H].C6%14%15C6%16C%17%18C%19%20C%21=C%22C%23=C%24C%25=C%21[H].C%11=%13[H].[H]4.[H]5.[H]7.[H]8.[H]3.[H]%14.[H]%15.[H]9.[H]%10.[H]6.[H]%16.[H]%17.[H]%18.[H]2.[H]%19.[H]%20.[H]1.[H]%12.[H]%22.[H]%23.[H]%25.[H]%24,49832807,"InChI=1S/C20H25NO2/c22-18-9-10-19-17(14-18)11-13-21(15-20(19)23)12-5-4-8-16-6-2-1-3-7-16/h1-3,6-7,9-10,14,20,22-23H,4-5,8,11-13,15H2",KKLZGWQBNXJWGZ-UHFFFAOYSA-N,,28.0,0
O1C23C45N6C78C9%10C%11%12C%13%14C6%15[H].O6C%16=C%17C%18=C2C2=C%16[H].C%11%16%19C%11=C%20C%21=C%22C%23=C%11[H].C4%11%24[H].[H]%12.[H]9.[H]%10.[H]%13.[H]%14.[H]7.[H]8.[H]%15.[H]5.[H]%16.[H]%19.[H]3.[H]%11.[H]%24.[H]1.[H]%20.[H]%18.[H]2.[H]%21.[H]%23.[H]%17.[H]%22.[H]6,3689,"InChI=1S/C21H27NO2/c1-16(21(24)19-7-9-20(23)10-8-19)22-13-11-18(12-14-22)15-17-5-3-2-4-6-17/h2-10,16,18,21,23-24H,11-15H2,1H3",UYNVMODNBIQBMV-UHFFFAOYSA-N,,5.0,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O3C%13%14C%15%16[H].O=C3N=5.N=7C3=C8[H].C957[H].C%1389[H].C%14%13%17[H].[H]%10.[H]%11.[H]%12.[H]5.[H]7.[H]%13.[H]%15.[H]%16.[H]8.[H]9.[H]%17.[H]6.[H]3.[H]4.[H]2.[H]1,56670194,"InChI=1S/C18H23Cl2N5O2/c1-11(2)25-9-8-21-16(25)23-15(24-17(26)27-18(3,4)5)22-12-6-7-13(19)14(20)10-12/h6-11H,1-5H3,(H2,21,22,23,24,26)",FMHBZNJRXVRBMZ-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11=C%12C%13=C%14C%15=C%11[H].[Cl]C=1C1=C3[H].O=C3N=5.N=7C5=C8[H].C378C3%11[H].C7%16%17[H].[H]9.[H]%10.[H]8.[H]6.[H]5.[H]%12.[H]%16.[H]%17.[H]3.[H]%11.[H]4.[H]%13.[H]%15.[H]%14.[H]2.[H]1,54758114,"InChI=1S/C21H21Cl2N5O/c1-14(2)19(29)26-20(25-16-8-9-17(22)18(23)12-16)27-21-24-10-11-28(21)13-15-6-4-3-5-7-15/h3-12,14H,13H2,1-2H3,(H2,24,25,26,27,29)",HRMXXGANGNTSAE-UHFFFAOYSA-N,,11.0,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.N=7C5=C8[H].C978[H].C%109%13[H].C3%10%14C3%15C%16%17[H].C%10%18%19C%10%20[H].[H]%11.[H]%12.[H]7.[H]8.[H]9.[H]%13.[H]%14.[H]%18.[H]%19.[H]3.[H]%15.[H]6.[H]5.[H]%10.[H]%20.[H]%16.[H]%17.[H]4.[H]2.[H]1,54758113,"InChI=1S/C20H27Cl2N5O/c1-6-13(7-2)17(28)25-18(24-14-8-9-15(21)16(22)12-14)26-19-23-10-11-27(19)20(3,4)5/h8-13H,6-7H2,1-5H3,(H2,23,24,25,26,28)",CXKBARGGKTTYOC-UHFFFAOYSA-N,,12.5,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.N=7C5=C8[H].C978[H].C%109%13[H].C3%10%14C3%15[H].C%10%16%17[H].C%14%10%18[H].[H]9.[H]%13.[H]7.[H]8.[H]%11.[H]%12.[H]6.[H]5.[H]3.[H]%15.[H]%16.[H]%17.[H]%10.[H]%18.[H]4.[H]2.[H]1,54758112,"InChI=1S/C19H25Cl2N5O/c1-18(2,3)15(27)24-16(23-12-7-8-13(20)14(21)11-12)25-17-22-9-10-26(17)19(4,5)6/h7-11H,1-6H3,(H2,22,23,24,25,27)",ZOBLZPFIZRACQS-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.N=7C5=C8[H].C978[H].C39%13C3=C%14C%15=C%16C%17=C3[H].[H]%10.[H]7.[H]8.[H]%11.[H]%12.[H]6.[H]5.[H]4.[H]9.[H]%13.[H]2.[H]%14.[H]1.[H]%15.[H]%17.[H]%16,54758110,"InChI=1S/C21H21Cl2N5O/c1-14(2)28-11-10-24-21(28)27-20(25-16-8-9-17(22)18(23)13-16)26-19(29)12-15-6-4-3-5-7-15/h3-11,13-14H,12H2,1-2H3,(H2,24,25,26,27,29)",CSWPBHJHCUEIDP-UHFFFAOYSA-N,,50.8,0
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.N=7C5=C8[H].C378C3%13[H].C7%14%15[H].C87%16[H].C98%17[H].[H]%10.[H]7.[H]3.[H]%13.[H]%14.[H]%15.[H]%16.[H]%11.[H]%12.[H]8.[H]%17.[H]6.[H]5.[H]4.[H]2.[H]1,54758109,"InChI=1S/C18H23Cl2N5O/c1-11(2)25-9-8-21-17(25)24-16(23-15(26)18(3,4)5)22-12-6-7-13(19)14(20)10-12/h6-11H,1-5H3,(H2,21,22,23,24,26)",MWFIWYZEFCCHPR-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].O=C3N=5.N=7C5=C8[H].C378C3%13C%14%15[H].C7%16%17C7%18[H].C9%19%20[H].[H]8.[H]%16.[H]%17.[H]3.[H]%13.[H]%10.[H]7.[H]%18.[H]%14.[H]%15.[H]%11.[H]%12.[H]%19.[H]%20.[H]6.[H]5.[H]4.[H]2.[H]1,54758022,"InChI=1S/C19H25Cl2N5O/c1-5-13(6-2)17(27)24-18(23-14-7-8-15(20)16(21)11-14)25-19-22-9-10-26(19)12(3)4/h7-13H,5-6H2,1-4H3,(H2,22,23,24,25,27)",SJZCDPRYENBTRZ-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C78C9%10C%11%12C%13%14C6%15[H].[Cl]C=1C1=C3[H].N36C%16%17C%18%19[H].N=5C6=NC56C3%20[H].C%163%21[H].[H]%11.[H]%12.[H]%13.[H]%14.[H]9.[H]%10.[H]7.[H]8.[H]%15.[H]%17.[H]%20.[H]5.[H]6.[H]4.[H]%18.[H]%19.[H]3.[H]%21.[H]2.[H]1,54758019,"InChI=1S/C18H25Cl2N5/c1-13(2)25-11-8-21-17(25)23-18(24-9-4-3-5-10-24)22-14-6-7-15(19)16(20)12-14/h6-7,12-13H,3-5,8-11H2,1-2H3,(H,21,22,23)",OZQDGEJORZSZQJ-UHFFFAOYSA-N,,21.5,0
[Cl]C=1C2=C3N4C5=NC67C89C%10%11C%12%13C%14%15C6%16[H].[Cl]C=1C1=C3[H].N53C=5N6C%17%18C%19%20N=5.C5%21%22C7%23[H].C%1057[H].C%14%215[H].C6%10%14C6%21[H].C%10%24%25[H].[H]%11.[H]%15.[H]%22.[H]8.[H]9.[H]%16.[H]%23.[H]%12.[H]%13.[H]7.[H]5.[H]3.[H]4.[H]%17.[H]%18.[H]%14.[H]%19.[H]%20.[H]2.[H]6.[H]%21.[H]%24.[H]%25.[H]1,54758017,"InChI=1S/C23H31Cl2N5/c1-14(2)30-6-5-26-22(30)28-21(27-18-3-4-19(24)20(25)10-18)29-23-11-15-7-16(12-23)9-17(8-15)13-23/h3-4,10,14-17H,5-9,11-13H2,1-2H3,(H2,26,27,28,29)",MKDPJGDXFXGDOH-UHFFFAOYSA-N,,60.0,1
[Cl]C=1C2=C3N4C=5N6C=7N8C9%10C%11%12[H].[Cl]C=1C1=C3[H].N=7C37C8%13[H].N=5C58C%14%15[H].C9%16%17[H].C59%18[H].C85%19[H].[H]%10.[H]%13.[H]3.[H]7.[H]%11.[H]%12.[H]%16.[H]%17.[H]6.[H]%14.[H]%15.[H]9.[H]%18.[H]5.[H]%19.[H]4.[H]2.[H]1,54758015,"InChI=1S/C17H25Cl2N5/c1-11(2)24-9-8-20-16(24)22-15(23-17(3,4)5)21-12-6-7-13(18)14(19)10-12/h6-7,10-11H,8-9H2,1-5H3,(H2,20,21,22,23)",GNLCLZXVKNQSHF-UHFFFAOYSA-N,,16.6,0
[Cl]C=1C2=C3N4C5=NC67C89[H].[Cl]C=1C1=C3[H].N53C=5N%10C%11=C%12N=5.C65%13[H].[H]7.[H]5.[H]8.[H]9.[H]%13.[H]4.[H]3.[H]2.[H]%10.[H]1.[H]%11.[H]%12,54757922,"InChI=1S/C13H15Cl2N5/c1-8(2)18-13(20-12-16-5-6-17-12)19-9-3-4-10(14)11(15)7-9/h3-8H,1-2H3,(H3,16,17,18,19,20)",CRPOMCNZQYBXSK-UHFFFAOYSA-N,,37.6,0
[Cl]C=1C2=C3N4C5=NC=6N7C8=C9N=6.[Cl]C=1C1=C3[H].N53[H].[H]4.[H]2.[H]1.[H]7.[H]8.[H]9.[H]3,54757921,"InChI=1S/C10H9Cl2N5/c11-7-2-1-6(5-8(7)12)16-9(13)17-10-14-3-4-15-10/h1-5H,(H4,13,14,15,16,17)",HXHQFVTXMKBQDC-UHFFFAOYSA-N,,23.6,0
